cache_type,seq_len,batch,block_size,ttft_ms,tpot_ms,throughput,memory_mb,frag_ratio
contiguous,128,1,N/A,4.286,3.036,311.1,147.57,0.0053
contiguous,128,4,N/A,6.001,3.018,1255.2,226.3,0.0053
contiguous,128,8,N/A,5.079,1.769,4190.2,331.27,0.0053
contiguous,128,16,N/A,7.871,1.922,7643.0,540.75,0.0053
contiguous,256,1,N/A,4.318,1.879,496.9,174.21,0.0032
contiguous,256,4,N/A,4.965,1.645,2269.8,328.71,0.0032
contiguous,256,8,N/A,7.905,2.132,3467.5,535.93,0.0032
contiguous,256,16,N/A,15.144,2.725,5269.9,951.09,0.0032
contiguous,512,1,N/A,6.475,3.169,298.6,223.96,0.0017
contiguous,512,4,N/A,9.894,3.166,1179.5,534.3,0.0017
contiguous,512,8,N/A,16.172,3.099,2324.2,946.67,0.0017
contiguous,512,16,N/A,25.188,2.029,6412.1,1771.05,0.0017
contiguous,1024,1,N/A,5.887,2.103,445.2,327.91,0.0009
contiguous,1024,4,N/A,21.43,2.181,1546.2,945.29,0.0009
contiguous,1024,8,N/A,30.564,2.972,2256.5,1769.63,0.0009
contiguous,1024,16,N/A,59.664,3.217,3737.2,3415.21,0.0009
contiguous,2048,1,N/A,14.854,3.295,276.6,534.52,0.0005
contiguous,2048,4,N/A,44.167,2.695,1146.9,1767.85,0.0005
contiguous,2048,8,N/A,78.675,1.908,2454.4,3413.69,0.0005
contiguous,2048,16,N/A,848.715,2.998,942.6,6701.64,0.0005
paged,128,1,16,4.416,3.505,275.7,147.1,0.3125
paged,128,4,16,10.833,7.631,509.9,224.32,0.3125
paged,128,8,16,18.878,13.072,596.3,327.95,0.3125
paged,128,16,16,48.841,24.989,618.8,533.55,0.3125
paged,256,1,16,6.527,5.333,181.8,173.63,0.3125
paged,256,4,16,18.86,10.579,366.2,327.91,0.3125
paged,256,8,16,58.603,29.756,260.6,532.58,0.3125
paged,256,16,16,93.66,51.991,297.8,941.73,0.3125
paged,512,1,16,12.702,8.025,119.6,223.92,0.3125
paged,512,4,16,36.35,24.465,158.9,530.82,0.3125
paged,512,8,16,76.044,38.976,199.3,939.9,0.3125
paged,512,16,16,178.644,75.527,203.6,1755.68,0.3125
paged,1024,1,16,21.016,9.063,105.1,327.58,0.3125
paged,1024,4,16,67.456,36.419,106.3,939.4,0.3125
paged,1024,8,16,139.894,67.636,113.9,1755.11,0.3125
paged,1024,16,16,310.786,130.191,118.9,3388.76,0.3125
paged,2048,1,16,40.9,16.969,56.5,530.74,0.3125
paged,2048,4,16,178.318,66.881,57.2,1757.35,0.3125
paged,2048,8,16,306.792,125.181,61.4,3388.19,0.3125
paged,2048,16,16,1353.091,277.969,53.5,6652.38,0.3125
